open,high,low,close,time
1.10826,1.10867,1.10766,1.1083,112320.0
1.1083,1.10979,1.10822,1.10955,112560.0
1.10958,1.10977,1.10887,1.10938,112800.0
1.10938,1.10993,1.10921,1.10958,113040.0
1.10957,1.11002,1.10855,1.10954,113280.0
1.10954,1.11179,1.10935,1.11097,113520.0
1.11098,1.11137,1.10889,1.10903,113760.0
1.10903,1.10952,1.10809,1.10828,114000.0
1.10828,1.10868,1.10776,1.10818,114240.0
1.10817,1.10862,1.10773,1.1085,114480.0
1.1085,1.10938,1.10749,1.10911,114720.0
1.1091,1.10956,1.10771,1.10955,114960.0
1.10955,1.10984,1.107,1.1086,115200.0
1.10861,1.10954,1.10839,1.10933,115440.0
1.10932,1.10996,1.10797,1.10882,115680.0
1.10882,1.10914,1.10809,1.10839,115920.0
1.10838,1.10922,1.1079,1.1086,116160.0
1.1086,1.11087,1.10802,1.10868,116400.0
1.10867,1.10874,1.10362,1.10493,116640.0
1.10495,1.10588,1.10482,1.10529,116880.0
1.10532,1.10582,1.10506,1.10535,117120.0
1.10536,1.10538,1.10465,1.10476,117360.0
1.10477,1.10617,1.10316,1.10339,117600.0
1.10337,1.10398,1.10261,1.10375,117840.0
1.10374,1.10389,1.10195,1.10271,118080.0
1.10271,1.10329,1.10209,1.10287,118320.0
1.1029,1.10358,1.10244,1.10358,118560.0
1.10358,1.10358,1.10266,1.103,118800.0
1.10299,1.10375,1.10151,1.10206,119040.0
1.10208,1.10317,1.10182,1.10312,119280.0
1.10312,1.10321,1.10096,1.10146,119520.0
1.10147,1.10202,1.10128,1.10187,119760.0
1.10187,1.10252,1.10166,1.10177,120000.0
1.10177,1.10231,1.10177,1.10223,120240.0
1.10223,1.10235,1.10126,1.10197,120480.0
1.10198,1.10225,1.10018,1.10061,120720.0
1.1006,1.10127,1.09978,1.10125,120960.0
1.10126,1.10229,1.10113,1.10207,121200.0
1.10207,1.10276,1.1015,1.10167,121440.0
1.10166,1.1017,1.10112,1.10156,121680.0
1.10156,1.10165,1.09945,1.1003,121920.0
1.1003,1.10033,1.09923,1.09948,122160.0
1.09947,1.10098,1.09925,1.10037,122400.0
1.10038,1.10207,1.09984,1.1009,122640.0
1.1009,1.10179,1.1009,1.10128,122880.0
1.10128,1.10172,1.10111,1.10114,123120.0
1.10114,1.10212,1.10069,1.10191,123360.0
1.1019,1.10318,1.10114,1.10237,123600.0
1.10238,1.10385,1.10152,1.10364,123840.0
1.10365,1.10393,1.10286,1.10342,124080.0
1.10342,1.10353,1.10266,1.10321,124320.0
1.10322,1.10331,1.10213,1.10233,124560.0
1.10234,1.10341,1.10168,1.10251,124800.0
1.10252,1.1056,1.10226,1.10509,125040.0
1.10509,1.10903,1.10486,1.10797,125280.0
1.10797,1.10954,1.10778,1.10918,125520.0
1.10917,1.10918,1.10799,1.10831,125760.0
1.10831,1.10862,1.10801,1.10857,126000.0
1.10859,1.10859,1.1059,1.10677,126240.0
1.10678,1.107,1.1057,1.10571,126480.0
1.10572,1.10663,1.10356,1.10628,126720.0
1.10628,1.10653,1.10571,1.10596,126960.0
1.10596,1.10641,1.10564,1.10568,127200.0
1.10568,1.10633,1.10555,1.10601,127440.0
1.10602,1.10637,1.10488,1.10504,127680.0
1.10505,1.1058,1.1043,1.10459,127920.0
1.1046,1.10483,1.10328,1.10434,128160.0
1.10433,1.10457,1.10391,1.10419,128400.0
1.10419,1.10459,1.1037,1.10371,128640.0
1.10371,1.10382,1.10336,1.10367,128880.0
1.10367,1.10479,1.10215,1.10277,129120.0
1.10276,1.10291,1.10044,1.10045,129360.0
1.10045,1.10096,1.09963,1.1002,129600.0
1.10021,1.1003,1.09937,1.09987,129840.0
1.09988,1.10005,1.09943,1.09975,130080.0
1.09974,1.09997,1.0994,1.09964,130320.0
1.09965,1.10138,1.09939,1.10045,130560.0
1.10044,1.10056,1.09941,1.09952,130800.0
1.09951,1.10001,1.09644,1.09761,131040.0
1.09762,1.09829,1.09707,1.09792,131280.0
1.09793,1.09839,1.09776,1.09834,131520.0
1.09834,1.09849,1.0978,1.09803,131760.0
1.09804,1.09804,1.09477,1.09497,132000.0
1.09499,1.09708,1.09487,1.0962,132240.0
1.09621,1.09763,1.09419,1.09445,132480.0
1.09445,1.09488,1.09419,1.09444,132720.0
1.09444,1.09532,1.09428,1.09511,132960.0
1.09511,1.09574,1.095,1.09549,133200.0
1.09548,1.09573,1.09447,1.09489,133440.0
1.09489,1.09527,1.0927,1.0929,133680.0
1.0929,1.09382,1.09091,1.09153,133920.0
1.09153,1.09162,1.09076,1.09115,134160.0
1.09118,1.09162,1.09078,1.09124,134400.0
1.09124,1.0917,1.09078,1.09097,134640.0
1.09096,1.09188,1.09056,1.09187,134880.0
1.09188,1.09228,1.08913,1.09219,135120.0
1.09216,1.09248,1.09114,1.0918,135360.0
1.09181,1.09231,1.09138,1.09183,135600.0
1.09182,1.09196,1.09108,1.09162,135840.0
1.09163,1.09177,1.08972,1.09061,136080.0
1.09061,1.09255,1.09038,1.0915,136320.0
1.0915,1.09159,1.08869,1.08918,136560.0
1.08919,1.08975,1.08673,1.08674,136800.0
1.08676,1.08755,1.08654,1.08717,137040.0
1.08718,1.08764,1.08678,1.0869,137280.0
1.08691,1.08757,1.08652,1.08756,137520.0
1.08756,1.08887,1.08684,1.08709,137760.0
1.0871,1.08713,1.08363,1.08363,138000.0
1.08364,1.08541,1.0834,1.08422,138240.0
1.08422,1.08454,1.0838,1.0839,138480.0
1.0839,1.08418,1.08271,1.08365,138720.0
1.08365,1.08402,1.08308,1.08384,138960.0
1.08385,1.08501,1.08322,1.08432,139200.0
1.08432,1.08611,1.08324,1.0849,139440.0
1.0849,1.08591,1.08328,1.0843,139680.0
1.0843,1.0843,1.08294,1.08392,139920.0
1.08391,1.08416,1.08334,1.08382,140160.0
1.08382,1.08412,1.08339,1.08386,140400.0
1.08386,1.08509,1.08372,1.08417,140640.0
1.08417,1.08425,1.0832,1.08343,140880.0
1.08343,1.08399,1.08291,1.08338,141120.0
1.08338,1.08373,1.08317,1.0836,141360.0
1.08361,1.08371,1.08229,1.08318,141600.0
1.08318,1.08372,1.08284,1.08372,141840.0
1.08371,1.08372,1.08212,1.08315,142080.0
1.08316,1.0834,1.07854,1.08143,142320.0
1.08143,1.08258,1.07977,1.07983,142560.0
1.07984,1.07989,1.07897,1.07955,142800.0
1.07957,1.08037,1.07927,1.08011,143040.0
1.08012,1.08015,1.07913,1.08005,143280.0
1.08005,1.08079,1.07873,1.07875,143520.0
1.07874,1.08036,1.07822,1.0784,143760.0
1.0784,1.08005,1.07838,1.0799,144000.0
1.0799,1.08115,1.07956,1.0807,144240.0
1.08074,1.08152,1.07916,1.07985,144480.0
1.07986,1.07995,1.07778,1.07898,144720.0
1.07897,1.08061,1.07848,1.07918,144960.0
1.07918,1.08211,1.07858,1.08082,145200.0
